antiguedad,gasto,soporte,satisfaccion,churn_real
67,128.8886977108175,2,5,0
48,208.21640873319225,0,4,0
37,211.0612425586071,1,3,0
48,324.5124601046341,3,3,0
28,132.56618008749734,3,3,0
19,169.88538702678335,2,4,0
7,172.29703127375404,1,3,0
56,269.3528572447085,1,5,0
45,228.04075482880054,0,3,0
68,440.21928406168394,1,4,0
7,104.17887717435951,0,5,0
55,294.77933959590706,0,5,0
66,27.742019213608078,1,3,0
41,72.10030192887693,2,4,0
61,208.61331716868204,0,4,0
71,190.83913554438058,2,3,0
64,439.2810875646883,0,4,0
71,174.55069110478786,2,5,0
2,190.0470442840057,0,5,0
18,270.1565262504272,1,5,0
46,119.66521337423575,0,4,0
63,143.6201907939599,2,4,0
24,493.9895946950833,0,5,0
60,445.73343080509835,1,1,1
61,293.1217910864938,1,4,0
67,142.8046065780282,1,5,0
50,339.32550336784783,0,4,0
9,213.61031332133246,0,1,1
71,60.75399833207244,2,5,0
22,231.5086248367391,1,4,0
62,252.99047638803324,1,5,0
25,197.94659901137675,3,4,0
33,364.52362989418765,1,1,1
39,343.3567932061457,1,5,0
1,302.2483610966908,2,3,0
20,43.56662269893263,2,5,0
59,407.1698052226144,2,4,0
39,102.72446125805018,1,4,0
38,170.5610960250212,0,3,0
38,39.648385552612844,0,4,0
71,278.962314825793,1,4,1
38,57.06690942181879,0,4,0
3,403.4829119432063,1,4,0
4,450.70637055995564,2,5,1
60,260.99412815683655,0,5,0
28,492.2852305368633,1,4,0
21,22.852564987294315,0,4,0
29,160.7131849410461,1,5,0
40,400.25973574280266,0,5,0
42,480.08467665040007,2,5,0
18,419.70377469594206,1,4,0
9,23.7140067804339,0,3,1
21,294.63044863254134,1,4,0
9,301.9969987901612,2,1,1
71,115.21553073282519,0,4,0
54,32.77333546878058,3,5,0
24,457.4667181606563,1,4,0
7,331.07415562438,0,5,0
17,219.63034706929716,2,4,0
34,76.35124985191483,0,2,0
41,298.4251166493444,0,4,0
37,123.4426146923167,0,4,0
9,366.89693222278845,0,5,0
21,393.3291284262596,0,5,0
64,382.746539965194,0,3,0
63,350.419684745902,0,4,0
48,45.904427788357296,0,4,0
23,255.7714308678001,0,4,0
70,124.6570109837478,2,5,0
28,40.84068366573298,1,4,0
36,209.8613035658131,2,3,0
69,464.2021204059741,0,3,0
52,476.1207800331924,1,5,1
55,334.8430893864679,1,2,0
39,85.20840429772997,1,1,0
6,232.0147462621859,1,5,0
36,66.24441236769081,2,4,1
5,254.4474291624422,1,2,1
46,360.5051323535226,2,4,0
51,131.830350407411,1,3,0
28,187.7688931481392,0,5,0
29,38.57580080587729,1,2,1
40,345.4857511610451,0,3,0
53,82.9352504732945,3,1,0
23,461.34678383725407,1,3,0
14,375.20668194632134,5,5,0
25,165.62275233587658,0,4,0
41,168.79408382498278,1,4,0
14,125.88959254745711,0,2,0
28,385.9011549576235,0,5,0
69,48.29094972945006,1,2,1
6,342.14077014565845,0,4,0
68,479.14816508245707,3,4,0
1,104.39756741873364,2,5,0
33,194.45593256620216,1,5,0
37,272.93150659249807,2,2,1
55,232.10205030361212,0,3,0
39,389.630295724014,0,2,1
48,406.59052898929576,2,4,0
60,400.4726531487078,0,4,0
46,78.4829733283575,1,4,0
36,231.3804007718014,1,2,1
43,244.66864034588284,1,3,0
33,335.087045430638,1,3,0
31,92.83037602698184,0,5,0
19,398.1781029025952,1,3,0
24,335.0447340701272,1,3,0
66,268.91134746694013,2,4,0
12,114.08454355788025,0,5,0
17,230.0318010766561,1,3,0
38,499.36294359077397,2,5,0
6,387.0388232881428,1,5,0
8,155.8103010211554,1,5,0
30,387.03561828681444,0,1,1
32,400.28820870519417,1,4,0
29,231.42176100216994,1,4,0
21,418.445800341182,0,4,0
28,228.12898852166592,2,4,0
5,497.9752400649346,0,4,0
35,291.05341895849614,1,3,0
32,84.85632894495863,1,4,0
1,472.6360720608654,2,4,0
57,33.123575033338156,3,4,1
48,404.7991000581884,1,4,0
25,381.20512129753416,1,5,0
28,482.7339754775588,0,1,0
62,277.79830102416514,4,4,0
45,175.62637973200924,1,5,0
24,226.82031302274171,1,5,0
8,269.4980675245479,1,4,0
66,127.3182225016119,0,5,0
22,483.9917836133109,1,3,0
30,47.69031088728248,0,4,0
50,22.984990505566092,1,5,0
50,348.7164080531119,1,2,1
70,207.72598695222055,0,4,0
34,237.20422332637423,1,3,0
19,63.5001505386426,0,3,0
67,483.9581004259479,0,4,0
12,76.82644901941055,1,4,0
51,488.97384802888166,0,4,0
22,30.453889667165033,1,5,0
15,330.56940566562014,0,3,0
20,318.0683794675408,1,4,0
48,135.08934635429137,0,3,0
9,476.9651479852131,1,4,0
17,405.12158992506016,0,4,0
3,41.61900023304053,2,5,0
5,447.22128842282456,0,3,1
35,457.7072451824584,0,3,0
41,384.1398308267902,1,4,0
58,433.7929476584394,0,3,0
25,287.7775524408279,0,3,0
46,300.02235595869377,2,5,0
69,79.78946078122041,0,4,0
10,96.42401644728162,1,2,1
26,437.86189789449656,3,4,0
8,380.22373033216496,2,4,0
57,493.5583467682176,1,2,0
14,414.8238707664977,0,4,0
48,27.123478018874092,0,4,0
27,345.6950808248887,1,4,0
25,194.88400619586042,0,2,1
33,333.4070512650763,1,4,0
12,451.96109807100004,1,3,0
27,255.6752183603692,1,4,0
44,28.13519100325058,1,4,0
3,303.15843278127994,1,4,0
18,118.78280296726237,0,5,0
49,48.02571375613978,1,4,0
60,375.8635807531335,1,5,0
28,335.1323138713546,1,3,0
15,70.33822108544027,1,3,0
46,466.28952960190253,1,1,0
14,292.90065747891896,1,4,0
24,427.49835053446014,1,5,0
16,102.06506365057345,0,4,0
15,20.180156937227594,1,3,0
59,453.0423296773787,1,3,0
3,414.47053521282066,0,4,0
12,147.21233154823247,0,3,0
22,499.3659280318285,0,4,0
9,87.99543819578517,0,5,0
34,72.43193508880425,0,5,0
2,296.2029006652707,2,1,1
16,346.48934790431144,0,4,0
56,464.11825876870137,1,3,0
14,385.5653101800071,2,4,0
71,303.08953251833515,1,4,0
41,285.78258497636733,3,2,1
64,445.5764797940347,0,4,0
29,365.2859727942799,1,4,0
37,330.7623356516332,0,5,0
40,64.75024838041614,0,1,0
3,214.36666899147156,4,5,0
11,470.6129301466579,0,3,1
2,409.2170700426851,1,5,0
34,470.9798594464745,0,5,0
62,388.91563605556763,2,3,0
71,20.65358677052176,0,4,0
67,134.02568228172146,1,2,0
32,489.03931454382234,0,2,0
70,131.21856606026168,1,3,0
59,190.2233520546348,1,4,0
61,481.65684940833216,0,4,0
51,61.31444094763168,1,3,0
52,335.88271876795824,1,4,0
3,23.740631110052046,1,4,1
57,381.2748006469703,1,4,0
65,256.2145811038537,1,3,0
45,434.6499135246232,2,4,0
24,486.3141086670344,0,4,0
55,204.11537319490316,3,4,0
31,45.96745402669878,1,3,0
64,306.4810859719808,0,3,0
70,386.6511663192731,1,4,0
30,225.30599125201383,0,5,0
51,335.74580267693267,0,3,0
24,363.77005159856617,3,4,0
23,456.89623766294477,0,3,0
18,59.20863781425133,0,5,0
1,313.8623132518243,0,3,0
43,165.05811104146198,1,4,0
71,105.55003007153785,1,4,0
35,283.34412037493917,0,4,0
40,220.8631293889155,2,5,0
2,318.4854806998002,0,4,0
28,67.45256674898611,0,4,0
10,408.4536667675024,3,3,1
43,341.92423918152303,0,4,0
64,42.79412327641591,0,4,0
54,295.84340088498783,5,3,0
15,170.25643067217433,1,5,1
60,50.75568781393159,2,4,0
70,87.17668735544308,3,4,0
18,436.8669042899232,1,5,0
15,344.91473212981595,1,4,0
1,497.26846685159137,1,3,0
70,46.553358553057684,5,5,0
38,222.37777158038324,0,5,0
36,60.88026314116968,0,4,0
13,359.80611197624467,0,4,0
30,78.8882557731438,1,4,0
50,406.3432069350178,2,2,1
3,222.46148470695024,3,5,1
68,313.9416102049603,1,4,0
48,346.6565343155118,1,3,0
39,276.6599571116444,2,4,1
52,39.01656153518937,0,4,0
50,22.947166223612783,0,3,0
23,137.437974076928,1,4,0
61,143.05196535407197,0,3,0
56,283.58887566385323,0,4,0
64,295.56312779825805,0,4,0
28,223.84985447662973,1,2,0
53,213.631789590103,0,5,0
38,190.57266557140483,1,5,0
42,227.00755487262336,0,3,0
70,113.06005773357745,0,4,0
29,437.08678390953753,3,3,1
31,416.8670080365529,0,3,1
69,353.5029263472369,0,4,0
70,110.46904237841433,1,4,0
32,374.0582069779684,0,4,0
60,160.66497910509008,0,5,0
25,25.956189823028772,0,3,0
31,183.68999588811855,2,2,0
3,133.76311873079734,0,3,0
14,316.29958680960164,2,3,0
17,447.884265315253,1,4,0
21,85.7088406599482,3,4,0
18,127.72258877566159,1,2,1
12,340.08564335226373,1,4,0
49,80.13034738094886,0,4,0
15,206.32920972495066,2,4,0
54,418.16661122939394,2,5,0
43,370.5609439784357,1,4,0
69,202.36992034461417,0,4,0
20,461.8697135924089,0,4,0
16,213.68587042709066,1,4,0
37,282.24567590133086,2,4,0
6,405.982575505219,2,4,0
54,442.749913496112,0,4,0
8,101.56194525932452,0,3,0
46,444.02674711959054,1,5,0
11,332.7600549008019,1,4,0
56,25.437650011349806,0,4,0
1,52.39001467527746,0,4,0
58,236.52170151238505,1,3,0
37,404.18109348723783,0,5,0
49,405.36873111792073,0,4,0
4,122.44634419247362,0,4,0
39,493.6568931414282,0,3,0
15,215.27285911858937,0,4,0
58,274.17787191653275,1,3,0
51,451.4469134342245,1,5,0
40,485.29673135609215,0,5,0
4,220.73050658793028,2,3,0
24,150.3889896713906,1,4,0
57,415.78888158244035,0,5,0
43,161.2928117858607,1,4,0
50,378.3482708849486,1,3,0
12,192.6039714723248,1,5,0
31,81.29723859156746,2,2,0
34,154.05763738761834,0,4,0
57,379.73500881707076,0,5,0
59,344.34499922070205,2,3,0
51,358.53256499012,1,4,0
38,471.06364169415536,4,3,1
38,376.07571101391386,0,5,0
27,313.2177674283123,0,2,1
51,449.80283884676817,3,3,1
32,288.5408470240338,3,5,0
41,52.40927860234198,1,5,0
44,356.48044695030785,2,4,0
16,394.8833353184034,2,2,1
33,244.00014247112534,1,4,0
69,330.8931040281259,1,5,0
26,184.79594306098687,0,5,0
1,463.07790192711934,0,5,0
54,491.3008211689366,1,5,0
35,354.06771149757935,0,4,0
45,314.60472214085615,1,5,0
2,188.07883885748595,0,4,0
16,286.8411759528766,0,4,0
62,488.40049523776815,0,5,0
15,42.371715030209046,0,4,0
23,492.5895312212834,0,5,0
33,201.27943244017123,1,3,0
28,82.75575023127391,1,4,0
46,282.6125699312184,0,1,1
28,428.66941388123473,1,4,0
48,254.81969048218468,0,4,0
49,101.02992591137449,1,4,0
61,305.8721095620709,0,2,0
21,70.12073959007554,3,4,1
26,351.954433113028,1,5,0
47,239.06751592262958,0,4,0
71,32.5571969179701,0,4,0
4,180.98025214949973,0,4,0
26,321.00193637220616,2,3,0
47,371.19218748421775,0,4,0
69,208.64878229327272,0,5,0
15,241.02564453740473,1,4,0
30,175.55291958099627,2,4,0
34,278.12363600718226,0,2,1
62,353.3853037604478,0,4,0
58,248.11964213343774,0,4,0
14,26.231761652694434,2,4,0
68,428.88394043287065,0,4,0
66,84.118585649168,0,3,0
25,341.35035058119695,1,3,0
30,140.80836727000525,2,4,0
29,450.2224595261513,2,4,0
38,89.87313342088987,2,5,0
27,34.1706168019016,0,1,1
3,227.5317727259102,0,4,0
34,226.9698615653535,0,5,0
19,428.4851837777885,0,4,0
20,330.64050790349876,0,3,0
60,103.92778755493289,1,4,0
17,96.77814566947347,1,5,0
41,86.27928668799923,1,2,0
41,258.6600877671589,1,3,0
7,488.8525146065409,0,3,0
52,437.92512632493975,1,5,0
50,142.16931831247362,2,3,0
38,474.8593576277903,0,2,1
59,244.14944904929962,0,4,0
5,361.2320171671549,2,5,0
36,495.1715269434281,1,2,0
68,96.9023592145495,0,3,0
2,398.8184745538861,1,5,0
11,168.81173294493,2,3,0
31,379.992357402027,1,3,0
63,265.04837862528245,0,5,0
54,92.86627655563608,2,2,1
14,80.31900439537631,0,4,0
10,253.88515120709255,2,4,0
35,256.84685288138104,0,3,0
66,176.89634119671464,0,4,0
28,71.92884477273303,0,1,1
40,38.405317736929575,2,2,1
4,140.11549887431607,0,4,0
48,290.16612619624664,1,4,0
48,452.3278079623994,0,4,0
26,389.50137284848404,1,4,0
49,109.98756891253323,2,4,0
52,29.54405091610692,3,3,1
57,81.02182568017234,1,4,0
10,357.43941806383157,1,5,0
19,416.3490476443821,2,3,0
23,375.7196524178142,2,4,0
65,80.43082366983745,2,5,0
22,378.3221798258763,0,5,0
23,423.84089395583186,1,4,0
34,360.55895847225236,1,3,0
13,453.1711188223351,1,5,0
42,259.63066678534415,1,2,0
64,409.3596095570924,2,2,0
51,113.28905928582088,1,4,0
1,441.53169200529976,1,4,0
54,139.09018071752678,2,4,0
62,357.78998998449225,0,4,0
34,258.4785083184408,1,5,0
59,246.16944091601647,0,1,1
45,484.87141818866996,0,4,0
5,415.8817184016788,2,5,0
49,75.16085013918897,0,4,0
11,23.415730490855182,2,2,1
65,489.6310677314281,0,2,0
34,415.4615774586432,0,5,0
15,144.02522395523386,0,4,0
57,162.88152673838465,0,2,0
13,281.03883614118604,2,3,0
35,113.37600891976813,2,4,0
60,310.97150150795875,1,5,0
6,158.31825210919533,2,2,1
24,378.9808189152971,1,4,0
6,359.6303054739148,0,5,0
12,439.5185824023438,1,2,0
8,75.9317308864986,1,5,0
63,303.20535732479874,1,1,1
1,87.63387635678089,0,4,0
28,122.23753544587461,3,5,0
22,328.9923508979207,1,4,0
67,47.15928699232698,1,5,0
63,425.39680680917024,1,5,0
28,82.29793408674043,2,4,0
17,353.258218308887,1,4,0
12,113.7581347358832,0,3,0
9,403.47486757203336,0,4,0
44,379.71027215043927,2,4,0
22,45.411476503552954,0,4,0
42,436.2349478757976,0,5,0
28,448.7963799557545,1,3,0
2,317.9621276240537,1,3,0
34,376.8788943581194,1,4,0
38,85.0972258577167,0,1,0
41,387.13882381310276,0,4,0
26,20.03256238989204,1,5,0
71,81.6552055935376,0,4,0
51,75.64960238105925,0,4,0
53,149.19061802067117,2,4,0
60,196.9366683396496,2,3,0
39,139.79329697968097,1,5,0
64,434.856094431668,0,4,0
32,221.74673144760362,3,4,0
14,81.7511352359526,0,5,0
62,385.93602946356503,2,4,0
37,134.79133601220767,1,4,0
27,385.43404453548357,1,2,0
32,396.4450232526792,2,4,0
16,92.03725175748059,0,5,0
37,396.31967140227556,1,3,0
8,38.716910827954806,0,3,0
13,76.06657326360839,1,4,0
61,259.3516258786765,2,4,0
37,249.83378074841272,0,4,0
65,84.63727854639899,0,2,1
24,136.62013721595335,0,4,0
41,335.89975770037114,2,4,0
31,46.26543511943618,0,5,1
4,223.17628650113843,0,3,0
15,43.08807061402413,1,4,0
51,247.1808215026761,0,1,0
1,181.38012964728566,1,5,0
18,73.38535281996649,2,5,0
9,416.5432638511391,3,2,1
5,363.4131171182916,0,1,1
43,388.73480832107293,2,2,0
33,135.49458455375776,3,5,0
13,204.42170961270955,0,4,0
26,82.32513768629428,1,4,0
62,393.2355996808536,0,5,0
14,306.9690338952965,1,4,0
71,69.86221417394188,1,4,0
49,148.69347624700697,1,4,0
65,213.15515686998071,1,4,0
67,171.2751544584172,1,4,0
64,113.70596324171161,0,5,0
59,303.5738099794243,1,5,0
4,88.50556832574738,1,4,0
32,397.11250225938204,1,3,0
50,70.42750561996635,3,4,0
15,300.6454414490553,2,5,0
44,481.38070276294934,2,3,0
69,27.393649179198043,0,4,0
14,392.36775311906337,1,3,0
4,91.8005692357543,1,5,0
12,491.9998805109544,1,1,1
47,382.57542423240164,1,5,0
52,343.17163090300306,0,3,0
27,32.70346730235218,0,5,0
25,319.3585232678931,0,4,0
42,154.54588975663182,0,5,0
8,116.65119016584069,2,4,0
32,268.64747884131083,0,2,0
71,301.52584879385057,0,5,0
52,217.31679400481792,1,2,0
60,330.2786801016081,2,5,0
20,229.0831528578749,0,5,0
2,284.31438558053594,1,4,0
3,468.68845032808156,1,2,1
44,485.0118213982835,0,4,0
33,477.6740261921355,2,5,0
62,186.22274257213675,2,5,0
36,461.49387202664826,2,4,0
55,371.70609834610934,0,3,0
28,110.96837535641582,1,3,0
45,120.28032217029735,1,5,0
39,367.8797693801941,0,5,0
30,28.328275507480658,0,5,0
25,429.81657938584937,2,5,0
47,333.07453557180656,0,4,0
19,201.86526356433143,0,2,0
23,397.8504951084075,1,1,1
64,20.865895631044893,2,3,0
69,187.43835985638654,0,2,0
8,218.45012822099181,0,4,0
24,51.72142110366016,0,3,0
67,455.69205468244587,1,4,0
49,412.33970455707794,1,4,0
65,179.1788070800332,0,3,0
36,476.138138112578,1,5,0
18,39.20862677580408,2,4,0
28,433.0067012318361,2,2,1
18,362.3066818184013,2,5,0
8,74.66436273376766,1,5,0
47,76.07959966711589,0,4,0
40,292.31469946876723,2,2,1
54,143.4556758928725,0,3,0
37,117.92956839805748,1,3,0
51,360.1962781890712,0,4,0
14,311.14014886870814,2,1,0
41,355.210721458198,2,4,0
4,185.79658936173973,2,4,0
10,421.6435224953113,0,3,0
40,314.4178269690554,3,3,0
22,140.06702379254958,2,3,0
60,253.94691458561562,2,3,0
20,433.81829612424036,2,2,0
27,25.70463312470766,1,5,1
24,46.58319733525781,2,4,0
3,307.62103894074596,0,5,1
23,388.051674245887,0,5,0
13,254.13760740336153,0,4,0
62,129.7911671036689,3,1,1
37,311.16030164741034,0,2,1
66,112.31490045797572,3,2,1
63,275.3307806363595,0,4,0
1,375.9047286529319,0,5,0
66,68.46208806728917,1,4,0
50,171.66482191483107,1,4,0
64,420.0387436818383,0,5,0
64,140.48404715410783,1,4,0
52,241.64855859686668,1,4,0
53,159.72076320158573,1,4,0
19,167.34703434017297,1,5,0
39,479.35689722126557,0,4,0
41,398.82294901951485,1,4,0
2,368.87676352797024,1,4,1
71,454.58004637693256,0,4,0
32,351.4171186172011,2,3,0
61,456.40515802835046,0,5,0
22,404.8215038985512,0,4,0
15,252.81003106157567,2,2,0
20,417.10391753497646,3,3,0
55,67.26143931558906,0,5,0
20,289.8125841122222,1,4,0
61,424.04225900839907,2,5,0
4,385.42715846951126,0,5,0
16,341.61609711795023,1,2,0
35,88.45867122455779,2,5,0
56,403.30443410460464,0,2,1
21,214.1368338839738,1,3,0
56,43.28625425462043,0,5,0
68,212.52975138083386,1,4,0
56,264.6214203973892,0,3,0
71,70.91976393092156,1,4,0
17,435.0626564944227,1,4,0
63,476.88071310282106,0,5,0
48,199.58066989634727,1,4,0
57,268.7429686247325,0,4,0
60,68.1747071059076,1,4,1
14,415.51752471862216,1,4,0
11,93.16424771091894,2,5,0
12,155.76583692810956,2,3,0
2,126.58759901375804,1,3,0
56,266.46026247698603,3,5,0
20,138.1076886780713,0,3,0
18,445.53715929963994,1,5,0
55,482.46285054805344,2,4,0
50,395.17897950919706,1,4,0
67,33.375894179642955,0,4,1
11,271.6670838352172,0,5,0
34,323.9527946016588,0,3,0
18,244.14281294283376,0,4,0
61,30.11213989773431,1,3,0
47,282.4435968426975,0,4,0
14,176.6624221896222,0,4,0
60,325.054491838476,1,4,0
21,185.2434816561083,0,5,0
26,383.2495926275279,0,4,0
23,352.5790292372365,0,5,0
33,357.55463391725027,0,5,0
20,127.16932544149606,3,3,0
25,203.04293027656234,1,4,0
30,193.01698083327298,1,1,0
6,56.56083411626888,1,4,0
67,212.07975517559356,0,5,0
60,118.10099810862064,4,3,0
26,461.24754755514925,0,1,1
30,139.53995582882612,3,4,1
39,263.6155098585115,4,4,0
62,319.06955694339996,3,3,0
53,63.493565209469,1,2,1
66,415.8685390820997,2,2,0
13,339.410523456473,1,5,0
32,30.69075150052864,0,3,0
44,485.59171189040603,1,3,0
22,317.82037060400177,2,4,0
64,413.8364298865626,0,5,0
23,324.3149455928264,2,3,0
48,348.2258456718053,2,5,0
7,326.89550705099094,3,4,1
27,168.85883539229852,0,4,0
25,250.1821387812636,0,5,1
2,73.74535951826314,1,4,0
17,400.77113854268094,3,5,0
17,148.47674897782466,0,2,1
71,176.32951303100532,0,4,0
62,234.03555562476254,0,2,0
27,77.32065472218221,1,3,0
56,454.08601015797933,0,5,0
16,373.99550800543113,0,2,0
60,205.50120888901267,3,5,0
57,350.7883773558807,0,4,0
65,314.85273380084993,0,1,0
15,333.9133136143325,0,5,0
17,382.7088478406618,0,5,0
48,481.6587385451594,0,5,0
71,166.10322440605478,1,5,0
47,41.00049305003529,2,5,0
1,103.06722069213151,2,3,0
49,333.55092884751787,2,5,0
26,315.0956590079038,1,5,0
55,220.3100763445422,0,1,1
50,343.3055845469847,1,5,0
42,53.05625776066613,0,3,0
