customer_id,frequency,monetary_value
0,6,616.61
1,5,82.53
2,5,28.83
3,5,19.23
4,2,36.03
5,4,90.65
6,6,60.8
7,2,87.63
8,5,65.36
9,5,13.99
10,6,17.68
11,7,97.91
12,7,19.12
13,5,95.14
14,7,111.86
15,3,59.27
16,3,5.12
17,4,65.43
18,7,55.32
19,4,181.01
20,7,113.65
21,4,112.95
22,3,17.03
23,5,55.6
24,5,61.11
25,4,108.43
26,8,63.49
27,5,33.24
28,7,45.71
29,8,32.31
30,4,25.45
31,4,70.69
32,8,60.64
33,6,22.12
34,10,71.99
35,7,304.06
36,2,13.65
37,2,65.87
38,5,32.86
39,8,60.72
40,3,31.89
41,4,128.07
42,7,106.33
43,2,33.4
44,5,21.23
45,4,49.97
46,6,46.99
47,8,55.35
48,3,63.05
49,3,35.47
50,4,66.05
51,6,74.66
52,8,53.73
53,4,89.88
54,5,30.83
55,6,155.01
56,3,43.86
57,4,84.13
58,5,18.64
59,6,19.31
60,5,34.01
61,6,51.77
62,4,55.64
63,5,92.33
64,5,49.79
65,4,92.0
66,6,74.25
67,9,91.72
68,6,49.68
69,2,104.84
70,10,57.36
71,4,71.96
72,9,118.24
73,2,87.45
74,6,38.96
75,6,109.87
76,6,24.85
77,5,70.9
78,3,18.87
79,3,47.32
80,5,86.25
81,3,35.53
82,5,86.25
83,4,27.14
84,4,25.64
85,6,34.69
86,5,29.54
87,6,19.72
88,3,30.59
89,3,37.44
90,6,71.42
91,5,27.35
92,4,17.43
93,4,83.86
94,2,35.99
95,9,82.22
96,3,70.91
97,4,123.38
98,8,34.15
99,6,29.34
100,5,316.32
101,5,119.4
102,5,67.57
103,5,112.61
104,3,93.52
105,5,59.45
106,1,194.64
107,8,124.12
108,6,38.32
109,5,96.52
110,6,36.47
111,4,53.12
112,5,20.81
113,4,189.26
114,5,55.29
115,3,45.43
116,4,119.08
117,7,70.81
118,2,31.87
119,2,56.62
120,3,49.19
121,7,15.27
122,5,134.22
123,5,91.79
124,2,52.33
125,4,21.35
126,2,56.69
127,6,125.7
128,5,122.83
129,3,18.86
130,5,74.65
131,5,75.74
132,5,17.51
133,7,25.11
134,4,89.81
135,7,85.47
136,5,69.78
137,5,25.24
138,8,95.65
139,3,26.02
140,3,106.9
141,6,56.07
