product_id,sku_name,categoria,costo_unitario,precio_lista
9557fab9,CON-DarkGoldenRod-896,Congelados,67.35,89.13
d972c156,CAR-Blue-822,Carnes,30.62,49.62
71caa68e,REL-HotPink-969,Relojería,15.24,29.9
854d48a7,FER-Blue-908,Ferretería,34.31,67.3
0ca439cb,MOD-GhostWhite-320,Moda,33.68,47.28
9ab3accb,CON-Brown-801,Congelados,8.83,16.93
197471aa,DES-LightSeaGreen-261,Despensa,10.97,20.46
333b22a9,DEC-Blue-540,Decoración,22.68,34.73
1212082e,LIM-LightGoldenRodYellow-109,Limpieza,20.12,35.3
c3f755a6,DES-MediumTurquoise-508,Despensa,16.69,29.95
261a08c4,MOD-Moccasin-645,Moda,26.37,45.26
f65233cf,CAR-LightBlue-334,Carnes,15.46,25.77
28c9b61a,INF-MediumSeaGreen-493,Informática,12.05,21.81
424fd668,MAS-Aquamarine-889,Mascotas,22.14,34.24
f80fbed9,FAR-Pink-686,Farmacia,7.89,10.91
31332f12,LÁC-Thistle-955,Lácteos,25.58,37.55
4764a2de,INF-Tan-469,Informática,20.63,37.39
c622d4ca,LEN-DarkGreen-941,Lencería,19.76,32.83
75c29616,ALI-Green-111,Alimentos,14.54,28.38
ee84ef04,LIM-MidnightBlue-485,Limpieza,30.01,50.26
4cfb5404,ROP-MidnightBlue-443,Ropa Niño,17.19,27.0
69d3fe5d,AUT-Chartreuse-610,Automotriz,22.46,39.54
a233b266,ILU-Blue-328,Iluminación,28.27,38.63
5930f6fa,FER-SteelBlue-203,Ferretería,27.69,48.47
e9fa0286,CAL-LightCyan-796,Calzado,22.87,30.79
3c2d8d0d,,,19.99,35.19
238ea293,PAN-GhostWhite-975,Panadería,66.77,103.1
7fb2eedd,AUT-DimGray-925,Automotriz,17.01,33.23
8fe4bd72,PES-Salmon-270,Pescados,12.5,17.93
8d6f71c0,BEL-LemonChiffon-448,,24.41,40.03
ed08bd0a,ILU-Tomato-912,Iluminación,11.32,22.47
fa547a3b,MUETan-380,Muebles,33.35,44.68
f881581b,CAM-MediumPurple-783,Camping,30.19,51.22
6f60b572,REL-LightGreen-960,Relojería,43.32,85.56
6ae446c1,INF-LightSteelBlue-854,Informática,33.5,66.17
3ad60621,LIM-SkyBlue-231,Limpieza,18.72,35.73
321e9d68,REL-Red-697,Relojería,28.64,49.96
4e5bb5b0,SAL-DeepSkyBlue-428,Salud,27.38,42.72
7debc30b,MUE-Gainsboro-584,Muebles,132.39,186.98
bca526bf,DEP-Lavender-873,Deportes,8.76,11.77
e69986d3,BEL-OrangeRed-616,Belleza,42.88,83.32
5581baa3,HIG-Magenta-642,Higiene Personal,16.27,21.39
acccb7c5,FAR-Gray-533,Farmacia,7.04,10.66
4860a0d0,LEN-LightCyan-437,Lencería,28.5,41.04
d55b04cf,MUE-PeachPuff-991,Muebles,22.93,30.28
c4a6488e,ELE-MediumOrchid-837,Electrónica,19.54,27.84
73c5bfe6,ROP-Crimson-876,Ropa Niño,22.22,42.28
85c93ec4,LÁC-DimGray-778,Lácteos,44.35,82.79
971cb7d7,PAP-Aqua-177,Papelería,89.7,145.07
371ac8e3,,Muebles,30.28,53.55
